,Class,Publication,h5.index,h5.median
532,Molecular Biology,Cold Spring Harbor Perspectives in Biology,81,120
533,Molecular Biology,Annual Review of Biochemistry,75,152
534,Molecular Biology,Cell Cycle,75,95
535,Molecular Biology,Molecular and Cellular Biology,72,96
536,Molecular Biology,Molecular Systems Biology,71,99
537,Molecular Biology,FEBS Journal,71,93
538,Molecular Biology,Molecular Biology of the Cell,64,79
539,Molecular Biology,Journal of Molecular Biology,63,78
540,Molecular Biology,EMBO Reports,60,81
541,Mycology,Fungal Genetics and Biology,37,49
542,Mycology,Fungal Diversity,36,48
543,Mycology,Medical Mycology,34,44
544,Mycology,Fungal Biology,30,37
545,Mycology,Mycologia,27,38
546,Mycology,Mycorrhiza,27,36
547,Mycology,Mycoses,25,35
548,Mycology,Fungal Ecology,24,37
549,Mycology,Persoonia,23,36
550,Mycology,Mycopathologia,22,28
551,Mycology,World Mycotoxin Journal,20,26
552,Mycology,Mycotaxon,17,25
553,Mycology,Mycological Progress,17,19
554,Mycology,Mycoscience,16,18
555,Mycology,Revista Iberoamericana de Micología,15,23
556,Mycology,Mycotoxin Research,15,18
557,Mycology,Nova Hedwigia,13,16
558,Mycology,IMA Fungus,12,30
559,Mycology,Journal of Medical Mycology,12,22
560,Mycology,Mycobiology,11,17
561,Oceanography,Marine Ecology Progress Series,49,63
562,Oceanography,Annual Reviews of Marine Science,47,84
563,Oceanography,Journal of Geophysical Research (Oceans),47,64
564,Oceanography,Global Biogeochemical Cycles,44,67
565,Oceanography,Deep Sea Research Part II: Topical Studies in Oceanography,44,58
566,Oceanography,Limnology and Oceanography,43,57
567,Oceanography,Progress in Oceanography,39,52
568,Oceanography,Oceanography,38,62
569,Oceanography,Journal of Atmospheric and Oceanic Technology,38,54
570,Oceanography,Journal of Marine Systems,38,52
571,Oceanography,"Estuarine, Coastal and Shelf Science",37,51
572,Oceanography,Journal of Physical Oceanography,36,47
573,Oceanography,ICES Journal of Marine Science: Journal du Conseil,36,45
574,Oceanography,Marine Geology,34,43
575,Oceanography,Marine Chemistry,33,45
576,Oceanography,Deep Sea Research Part I: Oceanographic Research Papers,32,44
577,Oceanography,Continental Shelf Research,32,39
578,Oceanography,Ocean Modelling,30,42
579,Oceanography,Paleoceanography,30,39
580,Oceanography,Fisheries Research,30,34
581,Paleontology,"Palaeogeography, Palaeoclimatology, Palaeoecology",39,50
582,Paleontology,Review of Palaeobotany and Palynology,26,34
583,Paleontology,Journal of Vertebrate Paleontology,25,35
584,Paleontology,Cretaceous Research,22,32
585,Paleontology,Paleobiology,22,27
586,Paleontology,Palaios,21,26
587,Paleontology,Marine Micropaleontology,21,25
588,Paleontology,Palaeontology,19,25
589,Paleontology,Lethaia,17,23
590,Paleontology,Journal of Paleontology,17,19
591,Paleontology,Journal of Systematic Palaeontology,16,28
592,Paleontology,Acta Palaeontologica Polonica,16,21
593,Paleontology,Comptes Rendus Palevol,14,20
594,Paleontology,Facies,14,17
595,Paleontology,Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen,13,18
596,Paleontology,Geobios,13,17
597,Paleontology,Geodiversitas,13,17
598,Paleontology,Bulletin of Geosciences,13,16
599,Paleontology,The Journal of Foraminiferal Research,12,19
600,Paleontology,Paläontologische Zeitschrift,12,16
601,Pest Control & Pesticides,Pest Management Science,37,46
602,Pest Control & Pesticides,Biological Control,35,42
603,Pest Control & Pesticides,Crop Protection,29,34
604,Pest Control & Pesticides,BioControl,27,36
605,Pest Control & Pesticides,Pesticide Biochemistry and Physiology,27,33
606,Pest Control & Pesticides,Weed Research,23,30
607,Pest Control & Pesticides,Weed Science,22,31
608,Pest Control & Pesticides,Journal of Applied Entomology,21,30
609,Pest Control & Pesticides,Weed Technology,20,25
610,Pest Control & Pesticides,Journal of Pest Science,19,25
611,Pest Control & Pesticides,Journal of Stored Products Research,18,27
612,Pest Control & Pesticides,Biocontrol Science and Technology,15,19
613,Pest Control & Pesticides,Journal of Vector Ecology,14,20
614,Pest Control & Pesticides,Journal of the American Mosquito Control Association,13,18
615,Pest Control & Pesticides,Phytoparasitica,13,16
616,Pest Control & Pesticides,Journal of Nematology,11,18
617,Pest Control & Pesticides,International Journal of Pest Management,11,15
618,Pest Control & Pesticides,Journal of Plant Diseases and Protection (JPDP),11,14
619,Pest Control & Pesticides,Weed Biology and Management,11,12
620,Pest Control & Pesticides,Archives Of Phytopathology And Plant Protection,10,13
621,Plant Pathology,Molecular Plant-Microbe Interactions,46,60
622,Plant Pathology,Annual Review of Phytopathology,38,75
623,Plant Pathology,Molecular Plant Pathology,36,46
624,Plant Pathology,Phytopathology,33,42
625,Plant Pathology,Plant Disease,30,40
626,Plant Pathology,Crop Protection,29,34
627,Plant Pathology,Plant Pathology,28,42
628,Plant Pathology,Annals of Applied Biology,26,34
629,Plant Pathology,European Journal of Plant Pathology,26,34
630,Plant Pathology,Forest Pathology,19,28
631,Plant Pathology,Journal of Plant Pathology,19,28
632,Plant Pathology,American Journal of Potato Research,17,25
633,Plant Pathology,Journal of Phytopathology,17,23
634,Plant Pathology,Australasian Plant Pathology,16,22
635,Plant Pathology,Physiological and Molecular Plant Pathology,15,20
636,Plant Pathology,Nematology,14,17
637,Plant Pathology,Journal of General Plant Pathology,13,19
638,Plant Pathology,Phytopathologia Mediterranea,13,19
639,Plant Pathology,EPPO Bulletin,13,18
640,Plant Pathology,Canadian Journal of Plant Pathology,13,16
641,Proteomics & Peptides,Molecular & Cellular Proteomics,74,101
642,Proteomics & Peptides,Journal of Proteome Research,70,91
643,Proteomics & Peptides,Proteomics,60,76
644,Proteomics & Peptides,Current Opinion in Structural Biology,58,80
645,Proteomics & Peptides,Biochimica et Biophysica Acta (BBA)-Proteins and Proteomics,52,78
646,Proteomics & Peptides,Amino Acids,51,67
647,Proteomics & Peptides,Journal of Proteomics,49,60
648,Proteomics & Peptides,"Proteins: Structure, Function, and Bioinformatics",48,76
649,Proteomics & Peptides,Peptides,44,54
650,Proteomics & Peptides,Protein Science,37,48
651,Proteomics & Peptides,Proteomics - Clinical Applications,35,43
652,Proteomics & Peptides,Protein Engineering Design and Selection,34,43
653,Proteomics & Peptides,Current Protein and Peptide Science,30,41
654,Proteomics & Peptides,Protein and Peptide Letters,29,40
655,Proteomics & Peptides,Expert Review of Proteomics,29,38
656,Proteomics & Peptides,Regulatory Peptides,28,35
657,Proteomics & Peptides,Proteome Science,23,32
658,Proteomics & Peptides,BMC Structural Biology,22,31
659,Proteomics & Peptides,Journal of Peptide Science,21,28
660,Proteomics & Peptides,Neuropeptides,20,27
661,Soil Sciences,Soil Biology and Biochemistry,61,82
662,Soil Sciences,Plant and Soil,55,75
663,Soil Sciences,Geoderma,46,60
664,Soil Sciences,Soil and Tillage Research,41,53
665,Soil Sciences,Journal of Environmental Quality,40,54
666,Soil Sciences,Soil Science Society of America Journal,37,45
667,Soil Sciences,Agronomy Journal,35,50
668,Soil Sciences,Applied Soil Ecology,34,45
669,Soil Sciences,European Journal of Soil Science,32,42
670,Soil Sciences,Catena,31,36
671,Soil Sciences,Biology and Fertility of Soils,29,37
672,Soil Sciences,European Journal of Soil Biology,28,34
673,Soil Sciences,Journal of Soils and Sediments,27,34
674,Soil Sciences,Vadose Zone Journal,27,34
675,Soil Sciences,Journal of Plant Nutrition and Soil Science,24,28
676,Soil Sciences,Nutrient Cycling in Agroecosystems,24,27
677,Soil Sciences,Irrigation Science,22,27
678,Soil Sciences,Pedosphere,22,27
679,Soil Sciences,Soil Research,21,39
680,Soil Sciences,Pedobiologia,21,29
681,Sustainable Development,Ecological Economics,75,105
682,Sustainable Development,Journal of Environmental Management,71,103
683,Sustainable Development,Journal of Cleaner Production,63,85
684,Sustainable Development,Environmental Science & Policy,48,65
685,Sustainable Development,Ecology & Society,46,61
686,Sustainable Development,Journal of Sustainable Tourism,42,64
687,Sustainable Development,Journal of Environmental Economics and Management,40,56
688,Sustainable Development,The International Journal of Life Cycle Assessment,38,54
689,Sustainable Development,Current Opinion in Environmental Sustainability,37,55
690,Sustainable Development,Environmental Management,37,52
691,Sustainable Development,Business Strategy and the Environment,36,58
692,Sustainable Development,Environmental and Resource Economics,36,51
693,Sustainable Development,Environmental Impact Assessment Review,34,47
694,Sustainable Development,Journal of Industrial Ecology,33,46
695,Sustainable Development,Mitigation and Adaptation Strategies for Global Change,28,38
696,Sustainable Development,Sustainability,28,37
697,Sustainable Development,Corporate Social Responsibility and Environmental Management,27,48
698,Sustainable Development,Climate Policy,25,38
699,Sustainable Development,Sustainable Development,25,38
700,Sustainable Development,Environmental Education Research,25,34
701,Sustainable Energy,Renewable and Sustainable Energy Reviews,108,161
702,Sustainable Energy,Journal of Power Sources,100,130
703,Sustainable Energy,Applied Energy,83,111
704,Sustainable Energy,International Journal of Hydrogen Energy,75,99
705,Sustainable Energy,Renewable Energy,72,89
706,Sustainable Energy,Energy,70,97
707,Sustainable Energy,Biomass and Bioenergy,64,88
708,Sustainable Energy,Energy Conversion and Management,59,93
709,Sustainable Energy,Solar Energy,56,72
710,Sustainable Energy,Energy and Buildings,54,86
711,Sustainable Energy,Progress in Photovoltaics: Research and Applications,45,67
712,Sustainable Energy,Journal of Nuclear Materials,40,48
713,Sustainable Energy,"Biofuels, Bioproducts and Biorefining",39,61
714,Sustainable Energy,Global Change Biology Bioenergy,36,50
715,Sustainable Energy,IET Renewable Power Generation,35,60
716,Sustainable Energy,Wind Energy,35,54
717,Sustainable Energy,IEEE Transactions on Sustainable Energy,34,54
718,Sustainable Energy,Fuel Cells,31,41
719,Sustainable Energy,International Journal of Energy Research,30,46
720,Sustainable Energy,Energies,29,56
721,Virology,PLoS Pathogens,98,125
722,Virology,Journal of Virology,90,115
723,Virology,Vaccine,76,92
724,Virology,Virology,54,69
725,Virology,Retrovirology,50,73
726,Virology,Journal of Clinical Virology,49,62
727,Virology,Journal of General Virology,49,59
728,Virology,Antiviral Research,48,73
729,Virology,Virus Research,46,72
730,Virology,Virology Journal,43,60
731,Virology,Journal of Viral Hepatitis,43,58
732,Virology,Expert Review of Vaccines,43,57
733,Virology,Current opinion in HIV and AIDS,41,60
734,Virology,Journal of Medical Virology,38,50
735,Virology,Antiviral Therapy,37,49
736,Virology,Archives of Virology,36,46
737,Virology,Human Vaccines & Immunotherapeutics,35,49
738,Virology,Reviews in Medical Virology,34,51
739,Virology,AIDS Research and Human Retroviruses,32,48
740,Virology,Journal of Virological Methods,32,39
741,Wood Science & Technology,Cellulose,40,52
742,Wood Science & Technology,BioResources,27,33
743,Wood Science & Technology,Holzforschung,23,29
744,Wood Science & Technology,Wood Science and Technology,21,26
745,Wood Science & Technology,European Journal of Wood and Wood Products,16,21
746,Wood Science & Technology,Wood and Fiber Science,15,23
747,Wood Science & Technology,Journal of Wood Science,14,19
748,Wood Science & Technology,Journal of Biobased Materials and Bioenergy,13,24
749,Wood Science & Technology,IAWA Journal,13,21
750,Wood Science & Technology,Forest Products Journal,13,18
751,Wood Science & Technology,Journal of Wood Chemistry and Technology,13,16
752,Wood Science & Technology,Cellulose Chemistry and Technology,11,23
753,Wood Science & Technology,Nordic Pulp & Paper Research Journal,10,14
754,Wood Science & Technology,Tappi Journal,10,14
755,Wood Science & Technology,Appita Journal,9,11
756,Wood Science & Technology,Maderas. Ciencia y Tecnología,8,11
757,Wood Science & Technology,Wood Material Science & Engineering,8,11
758,Wood Science & Technology,Cerne,7,8
759,Wood Science & Technology,Pulp & Paper-Canada,6,9
760,Wood Science & Technology,Wood Research,6,8
761,Zoology,Molecular Phylogenetics and Evolution,48,64
762,Zoology,Biological Journal of the Linnean Society,30,36
763,Zoology,Zootaxa,28,39
764,Zoology,Zoological Journal of the Linnean Society,27,38
765,Zoology,Journal of Zoology,27,35
766,Zoology,Journal of Mammalogy,27,32
767,Zoology,Physiological and biochemical zoology: PBZ,25,31
768,Zoology,Journal of Parasitology,25,27
769,Zoology,Systematic Entomology,24,31
770,Zoology,Marine Mammal Science,24,29
771,Zoology,Frontiers in Zoology,23,40
772,Zoology,Zoologica Scripta,23,27
773,Zoology,Ethology,22,30
774,Zoology,Journal of Wildlife Diseases,22,28
775,Zoology,Wildlife Research,22,28
776,Zoology,Canadian Journal of Zoology,21,32
777,Zoology,Endangered Species Research,21,32
778,Zoology,ZooKeys,20,28
779,Zoology,European Journal of Wildlife Research,20,26
780,Zoology,Mammalian Biology,18,23
